1	0	2	0	2	0	0	0	15	0	5	0	5	0	0	0	17	2	0	0	3	13	6	4	1	2	4	0	0	1	0	0	4	0	0	0	7	2	0	1	60	0	2	2	0	0	0	0	1	0	0	2	0	0	1	1	1	0	0	0	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	3	0	0	0	0	1	0	0	0	0	2	0	0	0	40	0	0	3	0	0	0	0	23	0	0	0	0	0	1	2	0	0	0	0	
2	0	0	1	0	1	0	0	3	0	5	0	4	0	0	0	3	1	0	0	1	0	3	0	0	1	2	0	1	0	1	0	1	0	2	0	3	3	0	0	43	0	1	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	
0	0	1	0	0	0	0	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
21	0	0	0	1	0	0	0	2	0	10	0	11	1	0	2	6	1	0	0	0	0	0	0	0	4	2	0	21	0	0	0	0	0	1	0	5	25	0	1	47	4	3	0	0	0	0	0	0	0	0	8	0	0	12	10	2	1	0	0	
13	1	0	6	0	0	0	0	0	0	4	0	4	0	2	1	0	3	0	0	0	0	8	0	5	10	0	0	6	0	0	0	2	0	1	0	10	4	0	0	2	1	0	0	0	0	0	0	1	0	0	1	2	0	18	7	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	12	10	1	0	0	2	0	1	0	41	0	32	0	2	5	11	11	0	0	12	1	11	15	4	34	17	2	4	3	0	0	3	0	2	0	23	12	0	20	103	5	4	1	1	0	2	0	0	2	5	13	2	0	28	35	16	0	7	15	
0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	29	2	0	0	0	0	4	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	29	0	1	5	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	
