1	8	17	0	0	
2	55	41	0	0	
3	34	0	0	0	
4	55	40	15	11	
5	22	37	30	16	
6	55	29	40	36	
7	8	39	60	49	
8	55	25	60	25	
9	55	38	90	87	
10	55	41	98	98	
11	40	20	120	0	
12	4	10	120	118	
13	26	40	150	0	
14	0	20	150	0	
15	40	20	165	0	
16	34	40	180	0	
17	26	20	180	0	
18	55	22	180	159	
19	55	10	190	184	
20	43	40	195	191	
21	26	40	210	183	
22	26	40	210	0	
23	8	0	220	211	
24	8	40	225	0	
25	8	16	240	0	
26	23	16	240	0	
27	25	23	240	240	
28	4	40	255	0	
29	57	4	255	0	
30	22	17	255	0	
31	20	51	255	0	
32	37	16	270	0	
33	22	16	270	0	
34	28	43	270	0	
35	4	28	270	0	
36	12	40	285	0	
37	4	0	285	226	
38	34	40	300	0	
39	34	40	300	0	
40	34	40	300	0	
41	12	16	300	0	
42	28	16	300	0	
43	4	40	315	0	
44	28	16	315	0	
45	29	40	330	0	
46	26	34	330	0	
47	24	28	330	0	
48	34	17	345	0	
49	26	40	360	352	
50	0	21	370	0	
51	0	40	375	0	
52	0	21	375	0	
53	25	4	405	0	
54	40	10	405	382	
55	0	36	405	391	
56	48	40	420	384	
57	26	40	420	0	
58	36	40	420	0	
59	4	10	420	0	
60	42	25	435	326	
61	22	40	450	0	
62	1	40	450	440	
63	37	4	450	0	
64	8	10	450	0	
65	23	40	462	462	
66	42	12	465	0	
67	36	32	480	443	
68	2	54	480	471	
69	24	55	480	0	
70	40	26	480	393	
71	43	36	500	497	
72	48	1	510	0	
73	34	40	540	537	
74	21	55	540	525	
75	20	0	540	531	
76	25	40	570	528	
77	51	40	570	0	
78	49	40	585	515	
79	36	5	585	443	
80	36	55	590	586	
81	12	17	600	0	
82	10	10	620	618	
83	1	40	630	606	
84	55	8	640	624	
85	34	22	675	674	
86	36	0	675	603	
87	37	25	718	717	
88	38	40	720	617	
89	55	8	735	704	
90	22	54	735	733	
91	32	27	736	736	
92	42	27	750	0	
93	40	23	759	759	
94	17	10	763	763	
95	34	40	780	779	
96	36	22	780	728	
97	28	17	795	724	
98	32	26	801	801	
99	45	55	810	655	
100	20	55	820	781	
101	10	29	820	685	
102	10	27	850	846	
103	32	40	855	854	
104	36	40	870	664	
105	10	12	870	870	
106	8	20	880	876	
107	3	10	885	885	
108	10	34	900	554	
109	32	27	909	909	
110	55	4	910	910	
111	17	25	915	854	
112	32	40	930	887	
113	22	40	930	879	
114	0	40	930	516	
115	15	4	930	900	
116	36	40	940	937	
117	0	2	940	635	
118	43	27	955	953	
119	22	16	960	740	
120	55	21	964	964	
121	55	17	990	984	
122	36	2	990	975	
123	22	3	990	824	
124	10	23	1004	1004	
125	37	16	1020	505	
126	1	48	1025	1021	
127	22	36	1025	1025	
128	4	37	1030	695	
129	23	17	1031	1031	
130	8	16	1050	1013	
131	24	17	1050	872	
132	12	17	1050	694	
133	37	36	1050	1045	
134	0	23	1070	1025	
135	26	12	1075	1074	
136	8	25	1080	1079	
137	8	10	1080	1041	
138	8	39	1095	1009	
139	21	42	1097	1097	
140	40	37	1105	1100	
141	55	36	1111	1111	
142	28	39	1115	1115	
143	12	42	1125	697	
144	22	40	1131	1131	
145	29	15	1135	1135	
146	0	16	1140	876	
147	17	22	1140	707	
148	34	52	1142	1142	
149	15	40	1147	1147	
150	34	16	1150	742	
151	17	28	1150	1150	
152	32	41	1160	1158	
153	42	41	1183	1183	
154	4	56	1195	1194	
155	27	40	1200	1109	
156	26	40	1200	1067	
157	39	16	1200	974	
158	15	43	1200	1194	
159	17	12	1200	1116	
160	1	24	1207	1207	
161	28	17	1215	810	
162	52	28	1228	1228	
163	8	23	1230	1207	
164	35	54	1230	1203	
165	8	59	1230	1206	
166	25	2	1242	1242	
167	3	40	1245	534	
168	8	12	1250	1249	
169	8	25	1260	1196	
170	55	56	1260	1235	
171	55	26	1260	1260	
172	34	40	1265	1265	
173	8	55	1268	1268	
174	5	22	1275	1247	
175	5	36	1275	1247	
176	5	25	1275	1248	
177	55	39	1290	1253	
178	22	40	1290	1007	
179	8	55	1290	1280	
180	17	0	1290	957	
181	34	40	1305	1218	
182	55	36	1305	1301	
183	36	40	1320	1270	
184	8	23	1320	1292	
185	8	12	1320	1314	
186	5	32	1335	1249	
187	36	40	1343	1343	
188	50	0	1344	1344	
189	55	39	1350	1244	
190	37	40	1350	1279	
191	55	28	1350	1329	
192	25	37	1380	1319	
193	32	55	1380	1312	
194	8	26	1380	1374	
195	32	0	1380	1379	
196	8	40	1400	1396	
197	27	39	1405	1405	
